GO-Term   	  Count	Name                                                                                                                                                                                       	Category
GO:0044023	     82	histone H4S1 kinase activity                                                                                                                                                               	molecular_function
GO:0030335	     81	positive regulation of cell migration                                                                                                                                                      	biological_process
GO:0006897	     80	endocytosis                                                                                                                                                                                	biological_process
GO:0006914	     80	autophagy                                                                                                                                                                                  	biological_process
GO:0016757	     79	glycosyltransferase activity                                                                                                                                                               	molecular_function
GO:0006811	     79	monoatomic ion transport                                                                                                                                                                   	biological_process
GO:0006952	     79	defense response                                                                                                                                                                           	biological_process
GO:0006805	     78	xenobiotic metabolic process                                                                                                                                                               	biological_process
GO:0004175	     78	endopeptidase activity                                                                                                                                                                     	molecular_function
GO:0016829	     78	lyase activity                                                                                                                                                                             	molecular_function
GO:0007200	     78	phospholipase C-activating G protein-coupled receptor signaling pathway                                                                                                                    	biological_process
GO:0060271	     77	cilium assembly                                                                                                                                                                            	biological_process
GO:0010629	     77	negative regulation of gene expression                                                                                                                                                     	biological_process
GO:0005543	     76	phospholipid binding                                                                                                                                                                       	molecular_function
GO:0048471	     76	perinuclear region of cytoplasm                                                                                                                                                            	cellular_component
GO:0030030	     76	cell projection organization                                                                                                                                                               	biological_process
